"Song","Artist","Index","Year"
"Bloodclot","Rancid","106","1998"
"Prophecy","Remy Zero","105","1998"
"My Favourite Game","The Cardigans","104","1998"
"Tropicalia","Beck","103","1998"
"Story of My Life","Social Distortion","102","1998"
"Prosthetic Head","Green Day","101","1998"
"Daysleeper","R.E.M.","100","1998"
"History Of A Boring Town","Less Than Jake","99","1998"
"Lucky Man","The Verve","98","1998"
"Slide","The Goo Goo Dolls","97","1998"
"Gangster Trippin","Fatboy Slim","96","1998"
"Somethin' Hot","The Afghan Whigs","95","1998"
"I'm Ok, You're Ok","MxPx","94","1998"
"Going Out of My Head","Fatboy Slim","93","1998"
"Last Stop: This Town","Eels","92","1998"
"Clumsy","Our Lady Peace","91","1998"
"Sunday","Sonic Youth","90","1998"
"Truly, Truly","Grant Lee Buffalo","89","1998"
"It's You","The Specials","88","1998"
"Spark","Tori Amos","87","1998"
"Blue Monday","Orgy","86","1998"
"Cut You In","Jerry Cantrell","85","1998"
"Jump Right In","The Urge","84","1998"
"Brick","Ben Folds Five","83","1998"
"Don't Drink the Water","Dave Matthews Band","82","1998"
"Acquiesce - Remastered","Oasis","81","1998"
"Bittersweet","Fuel","80","1998"
"Goodbye","Save Ferris","79","1998"
"Every Morning","Sugar Ray","78","1998"
"Fire Escape","Fastball","77","1998"
"Post Modern Sleaze","Sneaker Pimps","76","1998"
"Do the Vampire","Superdrag","75","1998"
"Would You...?","Touch & Go","74","1998"
"Wash It Away","Black Lab","73","1998"
"Pure Morning","Placebo","72","1998"
"From Your Mouth","God Lives Underwater","71","1998"
"All The Kids Are Right","Local H","70","1998"
"Bitter Sweet Symphony - Remastered 2016","The Verve","69","1998"
"A Perfect Day Elise","PJ Harvey","68","1998"
"Mother Mary","Far","67","1998"
"Singing In My Sleep","Semisonic","66","1998"
"In Hiding","Pearl Jam","65","1998"
"Nice Guys Finish Last","Green Day","64","1998"
"Wonderful Love","Creeper Lagoon","63","1998"
"Get Back","zebrahead","62","1998"
"Drinking in L.A.","Bran Van 3000","61","1998"
"Mouth - 2014 Remastered","Bush","60","1998"
"Be Quiet and Drive (Far Away)","Deftones","59","1998"
"Leech","Eve 6","58","1998"
"No Shelter","Rage Against The Machine","57","1998"
"Everything To Everyone","Everclear","56","1998"
"Polar Opposites","Modest Mouse","55","1998"
"How's It Going to Be","Third Eye Blind","54","1998"
"Got You (Where I Want You)","The Flys","53","1998"
"Beautiful Disaster","311","52","1998"
"You And Me & The Bottle Makes 3 (Tonight) - Live","Big Bad Voodoo Daddy","51","1998"
"Sweetest Thing","U2","50","1998"
"Everlong","Foo Fighters","49","1998"
"High","Feeder","48","1998"
"Push It","Garbage","47","1998"
"My Hero","Foo Fighters","46","1998"
"Brimful of Asha","Cornershop","45","1998"
"3AM","Matchbox Twenty","44","1998"
"Josie","blink-182","43","1998"
"Waltz #2 (XO)","Elliott Smith","42","1998"
"Private Helicopter","Harvey Danger","41","1998"
"Zoot Suit Riot","Cherry Poppin' Daddies","40","1998"
"Saint Joe On the School Bus (In the Style of Marcy Playground) [Performance Track with Demonstration Vocals]","Done Again","39","1998"
"Save Yourself","Stabbing Westward","38","1998"
"Body Movin' - Remastered 2009","Beastie Boys","37","1998"
"Dragula","Rob Zombie","36","1998"
"The Rockafeller Skank","Fatboy Slim","35","1998"
"Jump Jive An' Wail","The Brian Setzer Orchestra","34","1998"
"Karma Police","Radiohead","33","1998"
"The Down Town","Days Of The New","32","1998"
"Ava Adore","The Smashing Pumpkins","31","1998"
"Enjoy the Silence 2020","Failure","30","1998"
"Fly Away","Lenny Kravitz","29","1998"
"The Dope Show","Marilyn Manson","28","1998"
"Circles","Soul Coughing","27","1998"
"Malibu","Hole","26","1998"
"Jumper - 1998 Edit","Third Eye Blind","25","1998"
"Battle Flag","Pigeonhed","24","1998"
"One Week","Barenaked Ladies","23","1998"
"Iris","The Goo Goo Dolls","22","1998"
"Touch, Peel And Stand","Days Of The New","21","1998"
"Closing Time","Semisonic","20","1998"
"The Way","Fastball","19","1998"
"Got the Life","Korn","18","1998"
"Perfect","The Smashing Pumpkins","17","1998"
"Losing a Whole Year","Third Eye Blind","16","1998"
"Father Of Mine","Everclear","15","1998"
"I Think I'm Paranoid","Garbage","14","1998"
"Never There","CAKE","13","1998"
"Shimmer","Fuel","12","1998"
"Celebrity Skin","Hole","11","1998"
"Wishlist","Pearl Jam","10","1998"
"Inside Out","Eve 6","9","1998"
"I Will Buy You A New Life","Everclear","8","1998"
"What It's Like","Everlast","7","1998"
"Dammit","blink-182","6","1998"
"Sex & Candy","Marcy Playground","5","1998"
"Pretty Fly (For A White Guy)","The Offspring","4","1998"
"Good Riddance (Time of Your Life)","Green Day","3","1998"
"Intergalactic - Remastered 2009","Beastie Boys","2","1998"
"Flagpole Sitta","Harvey Danger","1","1998"
