"Song","Artist","Index","Year"
"The Ubiquitous Mr Lovegrove","Dead Can Dance","89","1993"
"Drums Of Heaven","Midnight Oil","88","1993"
"Somebody to Shove (2022 Remaster)","Soul Asylum","87","1993"
"Bold as Love - 2006 Remaster","Pretenders","86","1993"
"If I Ever Lose My Faith In You","Sting","85","1993"
"Waiting For The Sun","The Jayhawks","84","1993"
"Tones Of Home","Blind Melon","83","1993"
"You","Candlebox","82","1993"
"Disarm","The Smashing Pumpkins","81","1993"
"(I Can't Help) Falling In Love With You","UB40","80","1993"
"What's Up?","4 Non Blondes","79","1993"
"Go - Remastered","Pearl Jam","78","1993"
"Would? (2022 Remaster)","Alice In Chains","77","1993"
"Jimmy Olsen's Blues","Spin Doctors","76","1993"
"Numb","U2","75","1993"
"Sister Havana","Urge Overkill","74","1993"
"Ignoreland","R.E.M.","73","1993"
"These Are Days","10,000 Maniacs","72","1993"
"Cherub Rock - 2011 Remaster","The Smashing Pumpkins","71","1993"
"All That She Wants","Ace of Base","70","1993"
"How Could You Want Him (When You Know You Can Have Me)","Spin Doctors","69","1993"
"Purple Haze","The Cure","68","1993"
"Because the Night","10,000 Maniacs","67","1993"
"Tuesday Morning","The Pogues","66","1993"
"All Apologies","Nirvana","65","1993"
"The Gift","INXS","64","1993"
"Zooropa","U2","63","1993"
"Thing of Beauty","Hothouse Flowers","62","1993"
"Stay (Faraway, So Close!)","U2","61","1993"
"Start Choppin'","Dinosaur Jr.","60","1993"
"World - 2015 Remaster","New Order","59","1993"
"Goodnight Song","Tears For Fears","58","1993"
"Too Much Information","Duran Duran","57","1993"
"Solar Sister","The Posies","56","1993"
"Everyword","School Of Fish","55","1993"
"Into Your Arms","The Lemonheads","54","1993"
"My Sister","Juliana Hatfield","53","1993"
"Photograph","R.E.M.","52","1993"
"Cold","Tears For Fears","51","1993"
"My Country","Midnight Oil","50","1993"
"Brothers And Sisters","Ziggy Marley & The Melody Makers","49","1993"
"Glastonbury Song","The Waterboys","48","1993"
"On The Ropes","The Wonder Stuff","47","1993"
"Love U More","Sunscreem","46","1993"
"Ordinary World","Duran Duran","45","1993"
"Condemnation - 2006 Remaster","Depeche Mode","44","1993"
"Stand Above Me","Orchestral Manoeuvres In The Dark","43","1993"
"The Right Decision","Jesus Jones","42","1993"
"Lost Horizons","Gin Blossoms","41","1993"
"Crazy Mary - Remastered","Pearl Jam","40","1993"
"Steam","Peter Gabriel","39","1993"
"Can You Forgive Her? - 2018 Remaster","Pet Shop Boys","38","1993"
"Outbreak Of Love","Midnight Oil","37","1993"
"Loser","Beck","36","1993"
"Taste It","INXS","35","1993"
"Walking Through Syrup","Ned's Atomic Dustbin","34","1993"
"Allison Road","Gin Blossoms","33","1993"
"Flavor Of The Month","The Posies","32","1993"
"Laid","James","31","1993"
"Everybody Hurts","R.E.M.","30","1993"
"Daughter - Remastered","Pearl Jam","29","1993"
"Connected","Stereo MC's","28","1993"
"Courage (For Hugh MacLennan)","The Tragically Hip","27","1993"
"Not Sleeping Around","Ned's Atomic Dustbin","26","1993"
"Take Me Anywhere","School Of Fish","25","1993"
"Heart-Shaped Box","Nirvana","24","1993"
"Linger","The Cranberries","23","1993"
"Plush","Stone Temple Pilots","22","1993"
"Black","Pearl Jam","21","1993"
"Is It Like Today?","World Party","20","1993"
"Candy Everybody Wants","10,000 Maniacs","19","1993"
"Butterfly Wings","Machines Of Loving Grace","18","1993"
"Dogs Of Lust","The The","17","1993"
"I'm Gonna Be (500 Miles)","The Proclaimers","16","1993"
"Nothingness","Living Colour","15","1993"
"The Devil You Know","Jesus Jones","14","1993"
"Found Out About You","Gin Blossoms","13","1993"
"Man On The Moon","R.E.M.","12","1993"
"Sublime","The Ocean Blue","11","1993"
"Human Behaviour","Björk","10","1993"
"I Feel You - 2006 Remaster","Depeche Mode","9","1993"
"Slow Emotion Replay","The The","8","1993"
"Black Gold (2022 Remaster)","Soul Asylum","7","1993"
"Come Undone","Duran Duran","6","1993"
"Beautiful Girl","INXS","5","1993"
"Pets","Porno for Pyros","4","1993"
"The Sidewinder Sleeps Tonite","R.E.M.","3","1993"
"No Rain","Blind Melon","2","1993"
"Low","Cracker","1","1993"
