"Song","Artist","Index","Year"
"American Life in the Summertime","Francis Dunnery","105","1994"
"Where Did You Sleep Last Night - Live","Nirvana","104","1994"
"Prayer for the Dying","Seal","103","1994"
"Tremor Christ","Pearl Jam","102","1994"
"Girls & Boys","Blur","101","1994"
"Crush With Eyeliner - Remastered","R.E.M.","100","1994"
"Mockingbirds","Grant Lee Buffalo","99","1994"
"Mayonaise - 2011 Remaster","The Smashing Pumpkins","98","1994"
"Bizarre Love Triangle - 2014 Remaster","Frente!","97","1994"
"If You Don't Love Me (I'll Kill Myself)","Pete Droge","96","1994"
"When I Come Around","Green Day","95","1994"
"Miss World","Hole","94","1994"
"Cornflake Girl","Tori Amos","93","1994"
"Rearviewmirror - Remastered","Pearl Jam","92","1994"
"All I Wanna Do","Sheryl Crow","91","1994"
"Bang And Blame - Remastered","R.E.M.","90","1994"
"Sure Shot","Beastie Boys","89","1994"
"Am I Wrong","Love Spit Love","88","1994"
"Got Me Wrong","Alice In Chains","87","1994"
"Sweet Jane","Cowboy Junkies","86","1994"
"Your Favorite Thing","Sugar","85","1994"
"A Murder Of One","Counting Crows","84","1994"
"Not for You","Pearl Jam","83","1994"
"The Great Big No","The Lemonheads","82","1994"
"Purple Haze","The Cure","81","1994"
"Big Time Sensuality","Björk","80","1994"
"Rocket - 2011 Remaster","The Smashing Pumpkins","79","1994"
"Touch Me Fall","Indigo Girls","78","1994"
"Animal - Remastered","Pearl Jam","77","1994"
"Supernova","Liz Phair","76","1994"
"God Shuffled His Feet","Crash Test Dummies","75","1994"
"Dumb","Nirvana","74","1994"
"I Alone","Live","73","1994"
"Stranger Than Fiction","Bad Religion","72","1994"
"Glorified G - Remastered","Pearl Jam","71","1994"
"Something's Always Wrong","Toad The Wet Sprocket","70","1994"
"The More You Ignore Me, the Closer I Get - 2014 Remaster","Morrissey","69","1994"
"Daughter - Remastered","Pearl Jam","68","1994"
"Possession","Sarah McLachlan","67","1994"
"Rain King","Counting Crows","66","1994"
"Doll Parts","Hole","65","1994"
"About A Girl","Nirvana","64","1994"
"Soul to Squeeze","Red Hot Chili Peppers","63","1994"
"Locked Out","Crowded House","62","1994"
"You","Candlebox","61","1994"
"Landslide - Remastered","The Smashing Pumpkins","60","1994"
"Yellow Ledbetter","Pearl Jam","59","1994"
"Seether","Veruca Salt","58","1994"
"Heart-Shaped Box","Nirvana","57","1994"
"Barbarossa","Sordid Humor","56","1994"
"Every Iceberg Is Afire","Sky Cries Mary","55","1994"
"Self Esteem","The Offspring","54","1994"
"Sober","TOOL","53","1994"
"Return To Innocence","Enigma","52","1994"
"Until I Fall Away","Gin Blossoms","51","1994"
"Einstein On The Beach (For An Eggman)","Counting Crows","50","1994"
"Shrine","The Dambuilders","49","1994"
"Gotta Get Away","The Offspring","48","1994"
"Sabotage","Beastie Boys","47","1994"
"Zombie","The Cranberries","46","1994"
"Cherub Rock - 2011 Remaster","The Smashing Pumpkins","45","1994"
"What’s The Frequency, Kenneth? - Remastered 2013","R.E.M.","44","1994"
"My Wave","Soundgarden","43","1994"
"Laid","James","42","1994"
"Buddy Holly","Weezer","41","1994"
"Seven - Remastered","Sunny Day Real Estate","40","1994"
"Sometimes Always","The Jesus and Mary Chain","39","1994"
"Say Something","James","38","1994"
"Elderly Woman Behind the Counter in a Small Town - Remastered","Pearl Jam","37","1994"
"Feel the Pain","Dinosaur Jr.","36","1994"
"Cut Your Hair","Pavement","35","1994"
"Get Off This","Cracker","34","1994"
"Believe","Dig","33","1994"
"Mmm Mmm Mmm Mmm","Crash Test Dummies","32","1994"
"Undone - The Sweater Song","Weezer","31","1994"
"Fall Down","Toad The Wet Sprocket","30","1994"
"Disarm - 2011 Remaster","The Smashing Pumpkins","29","1994"
"Loser","Beck","28","1994"
"Big Empty","Stone Temple Pilots","27","1994"
"Spoonman","Soundgarden","26","1994"
"God","Tori Amos","25","1994"
"Far Behind","Candlebox","24","1994"
"Low","Cracker","23","1994"
"Round Here","Counting Crows","22","1994"
"I Stay Away","Alice In Chains","21","1994"
"All Apologies","Nirvana","20","1994"
"Fell On Black Days","Soundgarden","19","1994"
"Closer","Nine Inch Nails","18","1994"
"Cannonball","The Breeders","17","1994"
"Fade Into You","Mazzy Star","16","1994"
"Better Man","Pearl Jam","15","1994"
"Plateau - Live","Nirvana","14","1994"
"Interstate Love Song - 2019 Remaster","Stone Temple Pilots","13","1994"
"Welcome to Paradise","Green Day","12","1994"
"Sometimes","James","11","1994"
"Shine","Collective Soul","10","1994"
"Selling The Drama","Live","9","1994"
"Basket Case","Green Day","8","1994"
"Today - 2011 Remaster","The Smashing Pumpkins","7","1994"
"Mr. Jones","Counting Crows","6","1994"
"Vasoline","Stone Temple Pilots","5","1994"
"Black Hole Sun","Soundgarden","4","1994"
"Come Out and Play","The Offspring","3","1994"
"No Excuses","Alice In Chains","2","1994"
"Longview","Green Day","1","1994"
